name,gender,english_name
آئیل,m,Ail
آباد,M,Abad
آبادیس,m,Abadis
آباریس,m,Abaris
آبامه,M,Abameh
آبان,M,Aban
آبان آسا,f,Aban Asa
آبان دخت,F,Aban Dokht
آبان دیس,f,Aban Dis
آبان زاد,m,Aban Zad
آبان سا,f,Aban Sa
آبان سار,f,Aban Sar
آبان فام,f,Aban Fam
آبان مهر,f,Aban Mehr
آبان یاد,m,Aban Yad
آبانداد,f,Abandad
آبانه,f,Abaneh
آبانک,f,Abank
آباگران,m,Abagaran
آبتاب,f,Abtab
آبتین,m,Abtin
آبث,M,Aabas
آبد,m,Abad
آبدوس,m,Abdus
آبدیس,f,Abdis
آبدین,m,Abdin
آبرام,m,Abram
آبراهام,M,Abraham
آبرخ,f,Abrokh
آبرلی,m,Abrali
آبرنگ,f,Abrang
آبرو,m,Abroo
آبرود,f,Abroud
آبروشن,f,Abroshan
آبرون,f,Abrun
آبسال,f,Absal
آبسالان,f,Absalān
آبستا,m,Abasta
آبش,m,Absh
آبشار,f,Abshar
آبشن,f,Abshan
آبلاتکا,m,Ablatka
آبلوج,f,Abluj
آبناز,f,Abnaz
آبنوس,f,Abnus
آبنوش,f,Abnoush
آبو,m,Abu
آبکار,m,Abkar
آبگل,f,Abgol
آبگون,f,Abgun
آبگین,f,Abgin
آبگینه,f,Abgineh
آبی,m,Aabi
آبیار,m,Abyar
آبین,M,Aabin
آبیژ,f,Abij
آتا,m,Ata
آتاباللی,m,Ataballi
آتابای,M,Atabai
آتابلی,M,Atabli
آتابیک,m,Atabik
آتابیگ,m,Atabig
آتاقلیچ,m,Atagholich
آتامعلی,M,Ata-Mo'ali
آتامکین,m,Atamkin
آتان,m,Atan
آتاناز,f,Atanaz
آتاگلدی,m,Atagoldi
آتبین,f,Atbin
آتجان,m,Atjan
آتر,f,Ater
آترا,f,Atra
آترابان,m,Atraban
آتربان,m,Aterban
آتردین,m,Aterdin
آتروان,m,Atrovan
آترون,m,Atron
آتروپات,m,Atropat
آتری,f,Atri
آتریسا,f,Atrisa
آترین,F,Atrin
آترینا,f,Atrina
آترینه,m,Atrineh
آتسا,f,Atasa
آتسز,m,Atsaz
آتش,f,Atash
آتش برزین,m,Atash Barzin
آتش پا,m,Atash Pa
آتشبان,m,Atashban
آتشبند,f,Atashband
آتشدخت,f,Atashdokht
آتشرخ,f,Atashrokh
آتشزاد,m,Atashzad
آتشفام,f,Atashfam
آتشه,f,Atashe
آتشپاره,f,Atashpareh
آتشک,f,Atashak
آتشکار,m,Atashkar
آتشگون,f,Atashgon
آتشی,f,Atashi
آتشیزه,f,Atashizeh
آتشین,f,Atashin
آتلاز,f,Atlaz
آتلان,M,Atlan
آتمان,F,Atman
آتمش,m,Atmesh
آتنا,F,Atena
آتنایا,f,Atanaya
آتنه,f,Ataneh
آتنی,F,Aatani
آتور,M,Atur
آتورپات,m,Aturpat
آتورینا,f,Atorina
آتوسا,F,Atousa
آتوشه,f,Atusheh
آتون,M,Atoon
آتیال,m,Atial
آتیتی,m,Atiti
آتیجی,m,Atiji
آتیس,f,Atis
آتیلا,m,Atilla
آتین,m,Atin
آتینا,F,Atina
آتیه,f,Atieh
آتیه,F,Atiyeh
آتیه بیگم,F,Atiyeh Begom
آثحه,M,Asehe
آثویه,m,Aseviyeh
آجیر,m,Ajir
آجیکه,M,Ajikeh
آخ نازار,F,Akh Nazar
آختعلی,M,Akhtali
آخش,m,Akhash
آخشیج,m,Akhshej
آخشین,M,Akhsheen
آدا,f,Ada
آداد,m,Adad
آدارایل,m,Adarayel
آداش,m,Adash
آدان,m,Adan
آدای,M,Adaee
آدبهاوا,m,Adebhava
آدخ,m,Adakh
آدخت,f,Adukht
آدر,m,Ādor
آدرباد,m,Ādurbād
آدریان,m,Adrian
آدریانوس,m,Adriyanus
آدرین,m,Adrin
آدشرین,M,Adsharin
آدشیرین,F,Adshirin
آدلی,m,Adeli
آدم,m,Adam
آدم خان,M,Adam Khan
آدمیرال,M,Admiral
آدنا,f,Adna
آدنه بیکه,M,Adaneh Bikeh
آدهاوا,m,Adhava
آدورا,m,Adora
آدورینا,f,Adorina
آدی,m,Adi
آدیش,m,Adish
آدیشه,f,Adishe
آدین,M,Adin
آدینه,F,Adineh
آدینه بردی,F,Adineh Baradi
آدینه بی‌بی,F,Adineh Bibi
آدینه حسن,M,Adineh Hasan
آدینه قاضی,F,Adineh Ghazi
آدینه قلی,F,Adineh Gholi
آدینه محمد,F,Adineh Mohammad
آدینگ,m,Ading
آدیگوزل,m,Adigozel
آذار,f,Azar
آذر,F,Azar
آذر برزین,m,Azar Borzin
آذر بی‌بی,F,Azar Bibi
آذر خانم,F,Azar Khanom
آذر میدخت,F,Azar Midekht
آذر می‌دخت,F,Azar Midadokht
آذر نوش,F,Azar Noosh
آذرآباد,f,Azarabad
آذرآیین,m,Azarayin
آذرافروز,f,Azraafruz
آذرافزا,f,Azrafza
آذران,F,Azaran
آذراوغلی,m,Azaroghli
آذربابا,m,Azarbaba
آذرباد,m,Azarbad
آذربان,m,Azarban
آذربانو,f,Azarbanu
آذربد,m,Azarbud
آذربه,m,Azarbeh
آذربهرام,m,Azarbahram
آذربو,f,Azarbo
آذربود,m,Azarbud
آذربویه,f,Azarbooye
آذرتاش,m,Azartash
آذرتوس,m,Azartus
آذرجهان,f,Azarjahan
آذرجوش,m,Azarjoosh
آذرخاتون,f,Azarkhatoon
آذرخانم,F,Azarkhanom
آذرخت,F,Azarkhod
آذرخش,f,Azarakhsh
آذرداد,m,Azardad
آذردخت,F,Azardokht
آذردیس,f,Azardis
آذررخ,f,Azarrokh
آذرشب,m,Azarshab
آذرشسب,m,Azarshasp
آذرشست,f,Azarshast
آذرشن,m,Azarshan
آذرطوس,m,Azartus
آذرفر,m,Azarfar
آذرفرنبغ,m,Azarfarangbakh
آذرفروز,f,Azarforuz
آذرفزا,f,Azarafza
آذرماه,f,Azarmah
آذرماهان,m,Azarmahan
آذرمه,f,Azarmeh
آذرمهر,f,Azarmehr
آذرمهربرزین,m,Azar Mehrbarzin
آذرمیدخت,F,Azarmidokht
آذرمینا,f,Azarmina
آذرنرسی,m,Azarnarsi
آذرنوش,F,Azarnoush
آذرنگ,m,Azarang
آذرهمایون,f,Azarhomayoun
آذروان,m,Azarvan
آذروش,F,Azaroosh
آذرپاد,m,Azarpad
آذرپناه,m,Azarpanah
آذرپژوه,m,Azarpajou
آذرپی,m,Azarpey
آذرچهر,f,Azarchehr
آذرک,f,Azarak
آذرکار,m,Azarkar
آذرکیش,m,Azarkish
آذرکیوان,m,Azar Keyvan
آذرگشسب,m,Azarghashasb
آذرگشسپ,m,Azargashtasp
آذرگل,f,Azargol
آذرگون,f,Azargun
آذرین,f,Azarin
آذریون,f,Azariyon
آذین,F,Azin
آذین دخت,F,Azin Dokht
آذین فر,m,Azin Far
آذین گل,f,Azin Gol
آذیندخت,f,Azindokht
آرمان,M,Arman
آرا,f,Ara
آراء,F,Ara'
آراج,m,Arāj
آراد,M,Arad
آراده,F,Arade
آرارات,m,Ararat
آراز,m,Araz
آرازبیدی,M,Arazbidi
آرازش,m,Arzesh
آراس,F,Aras
آراسته,f,Arasteh
آراستی,f,Arasti
آراشید,f,Arashid
آرالیا,f,Araliya
آرام,M,Aram
آرام خانم,M,Aram Khanom
آرام دخت,f,Aram Dokht
آرام دل,f,Aram Del
آرامش,M,Aramesh
آرامه,f,Arameh
آرامیس,f,Aramis
آران,m,Aran
آراگل,f,Aragel
آرایه,f,Araye
آربی,M,Arbi
آرتا,M,Arta
آرتا دخت,F,Arta Dokht
